identity,type,subsystem,value,alarm_state,severity,control,Suppress,override,servers,override_value,Override,style,allowable_system_state
PrimaryPLC.System.BMSAB/BMSNotConnect,AlarmAllowUp,Machine,,0,critical,,0,,,,0,state,
PrimaryPLC.System.Secondary/SecPwrMismatch,EscAlarm,Machine,,0,error,,0,,,,0,state,
PrimaryPLC.System.BMSAB/AvailFactor,ValRefPersReal,Machine,0.5,,,,,,,,,,
PrimaryPLC.System.BMSAB/Availability,ValRefPercentage,Machine,1.0,,,,,,,,,,
PrimaryPLC.System.BMSAB/BMSAvailInsuff,SysCntrl,Machine,,,,stop,0,,,,0,state,charging
PrimaryPLC.System.BMSAB/BMSAvailLmtd,EscAlarm,Machine,,1,critical,,0,,,,0,state,
PrimaryPLC.System.BMSAB/BMSChrgCutb,ChargeMod,Machine,,,,,1,,"[{'identity': 'PrimaryPLC.System.Travel/CntxtQualModEx', 'type': 'CntxtQualModEx', 'subsystem': 'Machine'}, {'identity': 'PrimaryPLC.System.Lift/CntxtQualModEx', 'type': 'CntxtQualModEx', 'subsystem': 'Machine'}]",,0,state,
PrimaryPLC.System.BMSAB/BMSChrgMismatch,EscAlarm,Machine,,0,warning,,0,,,,0,state,
PrimaryPLC.System.BMSAB/BMSCurrMismatch,EscAlarm,Machine,,0,critical,,0,,,,0,state,
PrimaryPLC.System.BMSAB/BMSDischCutb,ChargeMod,Machine,,,,,1,,"[{'identity': 'PrimaryPLC.System.Travel/CntxtQualModEx', 'type': 'CntxtQualModEx', 'subsystem': 'Machine'}, {'identity': 'PrimaryPLC.System.Lift/CntxtQualModEx', 'type': 'CntxtQualModEx', 'subsystem': 'Machine'}]",,0,state,
PrimaryPLC.System.BMSAB/BMSNotConnect,AlarmAllowUp,Machine,,0,critical,,0,,,,0,state,
PrimaryPLC.System.BMSAB/BMSSOCMismatch,EscAlarm,Machine,,0,critical,,0,,,,0,state,
PrimaryPLC.System.BMSAB/BMSVoltMismatch,EscAlarm,Machine,,0,critical,,0,,,,0,state,
PrimaryPLC.System.BMSAB/Current,ValRefReal,Machine,1.0,,,,,,,,,,
PrimaryPLC.System.BMSAB/CurrentMismatch,ValRefPersReal,Machine,10.0,,,,,,,,,,
PrimaryPLC.System.BMSAB/CycleOutput,ValRefBool,Machine,0,,,,,,,,,,
PrimaryPLC.System.BMSAB/DsblConnect,ValRefBool,Machine,0,,,,,,,,,,
PrimaryPLC.System.BMSAB/DsblVoltMisMgmt,ValRefPersBool,Machine,0,,,,,,,,,,
PrimaryPLC.System.BMSAB/EnblBMS,ValRefPersUINT,Machine,3,,,,,,,,,,
PrimaryPLC.System.BMSAB/EnblRestart,ValRefBool,Machine,1,,,,,,,,,,
PrimaryPLC.System.BMSAB/EnblSOCRecovery,ValRefBool,Machine,0,,,,,,,,,,
PrimaryPLC.System.BMSAB/Output,ValObjBool,Machine,1,,,,,0,,0,,,
PrimaryPLC.System.BMSAB/RestartCount,ValRefUSINT,Machine,2,,,,,,,,,,
PrimaryPLC.System.BMSAB/SOC,ValRefPercentage,Machine,1.0,,,,,,,,,,
PrimaryPLC.System.BMSAB/SOCLowOpMin,SysCntrl,Machine,,,,stop,0,,,,0,state,charging
PrimaryPLC.System.BMSAB/SOCLowStdbyMin,Alarm,Machine,,0,warning,,0,,,,0,state,
PrimaryPLC.System.BMSAB/SOCMismatch,ValRefPersReal,Machine,0.05,,,,,,,,,,
PrimaryPLC.System.BMSAB/SOCRecCurrMin,ValRefReal,Machine,-1.0,,,,,,,,,,
PrimaryPLC.System.BMSAB/SOCRecTimRst,ValRefBool,Machine,0,,,,,,,,,,
PrimaryPLC.System.BMSAB/SOCWarnLow,Alarm,Machine,,1,warning,,0,,,,0,state,
PrimaryPLC.System.BMSAB/TMSMismatch,EscAlarm,Machine,,0,critical,,0,,,,0,state,
PrimaryPLC.System.BMSAB/Voltage,ValRefReal,Machine,1.0,,,,,,,,,,
PrimaryPLC.System.BMSAB/VoltageMismatch,ValRefPersReal,Machine,0.5,,,,,,,,,,
PrimaryPLC.System.CANBusSystem/cBMSA/Current,ValObjReal,Machine,0.799988,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSA/SOC,ValObjPercentage,Machine,0.844,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSA/Voltage,ValObjReal,Machine,129.5,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSB/Current,ValObjReal,Machine,0.799988,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSB/SOC,ValObjPercentage,Machine,0.84,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSB/SOH,ValObjPercentage,Machine,1.0,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSB/MaxTemp,ValObjReal,Machine,31.0,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSB/Voltage,ValObjReal,Machine,129.5,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSA/TtlDschrgEnergy,ValObjReal,Machine,0.0,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSA/TtlChrgEnergy,ValObjReal,Machine,0.0,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSA/FaultCode,ValObjUSINT,Machine,0,,,,,0,,0,,,
PrimaryPLC.System.CANBusSystem/cBMSA/SOH,ValObjPercentage,Machine,0.996,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSA/MaxTemp,ValObjReal,Machine,31.0,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSA/MinTemp,ValObjReal,Machine,29.0,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSB/SlaveAllowUp,AlarmAllowUp,Machine,,1,none,,0,,,,0,state,
PrimaryPLC.System.CANBusSystem/cBMSB/SlaveNoVldTrnms,AlarmAllowUp,Machine,,1,none,,0,,,,0,state,
PrimaryPLC.System.BMSAB/BMSSOCMismatch,EscAlarm,Machine,,1,none,,0,,,,0,state,
PrimaryPLC.System.BMSAB/BMSVoltMismatch,EscAlarm,Machine,,1,none,,0,,,,0,state,
PrimaryPLC.System.Secondary/SecPwrNotRun,EscAlarm,Machine,,0,critical,,0,,,,0,state,
PrimaryPLC.System.Secondary/SecPwrWait,AlarmAllowUp,Machine,,0,critical,,0,,,,0,state,
PrimaryPLC.System.BMSAB/AvailFactor,ValRefPersReal,Machine,0.5,,,,,,,,,,
PrimaryPLC.System.BMSAB/Availability,ValRefPercentage,Machine,1.0,,,,,,,,,,
PrimaryPLC.System.BMSAB/BMSAvailInsuff,SysCntrl,Machine,,,,stop,0,,,,0,state,charging
PrimaryPLC.System.BMSAB/BMSAvailLmtd,EscAlarm,Machine,,1,critical,,0,,,,0,state,
PrimaryPLC.System.BMSAB/BMSChrgCutb,ChargeMod,Machine,,,,,1,,"[{'identity': 'PrimaryPLC.System.Travel/CntxtQualModEx', 'type': 'CntxtQualModEx', 'subsystem': 'Machine'}, {'identity': 'PrimaryPLC.System.Lift/CntxtQualModEx', 'type': 'CntxtQualModEx', 'subsystem': 'Machine'}]",,0,state,
PrimaryPLC.System.BMSAB/BMSChrgMismatch,EscAlarm,Machine,,0,warning,,0,,,,0,state,
PrimaryPLC.System.BMSAB/BMSCurrMismatch,EscAlarm,Machine,,0,critical,,0,,,,0,state,
PrimaryPLC.System.BMSAB/BMSDischCutb,ChargeMod,Machine,,,,,1,,"[{'identity': 'PrimaryPLC.System.Travel/CntxtQualModEx', 'type': 'CntxtQualModEx', 'subsystem': 'Machine'}, {'identity': 'PrimaryPLC.System.Lift/CntxtQualModEx', 'type': 'CntxtQualModEx', 'subsystem': 'Machine'}]",,0,state,
PrimaryPLC.System.BMSAB/BMSNotConnect,AlarmAllowUp,Machine,,0,critical,,0,,,,0,state,
PrimaryPLC.System.BMSAB/BMSSOCMismatch,EscAlarm,Machine,,1,warning,,0,,,,0,state,
PrimaryPLC.System.BMSAB/BMSVoltMismatch,EscAlarm,Machine,,1,warning,,0,,,,0,state,
PrimaryPLC.System.BMSAB/Current,ValRefReal,Machine,1.0,,,,,,,,,,
PrimaryPLC.System.BMSAB/CurrentMismatch,ValRefPersReal,Machine,10.0,,,,,,,,,,
PrimaryPLC.System.BMSAB/CycleOutput,ValRefBool,Machine,0,,,,,,,,,,
PrimaryPLC.System.BMSAB/DsblConnect,ValRefBool,Machine,0,,,,,,,,,,
PrimaryPLC.System.BMSAB/DsblVoltMisMgmt,ValRefPersBool,Machine,0,,,,,,,,,,
PrimaryPLC.System.BMSAB/EnblBMS,ValRefPersUINT,Machine,3,,,,,,,,,,
PrimaryPLC.System.BMSAB/EnblRestart,ValRefBool,Machine,1,,,,,,,,,,
PrimaryPLC.System.BMSAB/EnblSOCRecovery,ValRefBool,Machine,0,,,,,,,,,,
PrimaryPLC.System.BMSAB/Output,ValObjBool,Machine,1,,,,,0,,0,,,
PrimaryPLC.System.BMSAB/RestartCount,ValRefUSINT,Machine,2,,,,,,,,,,
PrimaryPLC.System.BMSAB/SOC,ValRefPercentage,Machine,1.0,,,,,,,,,,
PrimaryPLC.System.BMSAB/SOCLowOpMin,SysCntrl,Machine,,,,stop,0,,,,0,state,charging
PrimaryPLC.System.BMSAB/SOCLowStdbyMin,Alarm,Machine,,0,warning,,0,,,,0,state,
PrimaryPLC.System.BMSAB/SOCMismatch,ValRefPersReal,Machine,0.05,,,,,,,,,,
PrimaryPLC.System.BMSAB/SOCRecCurrMin,ValRefReal,Machine,-1.0,,,,,,,,,,
PrimaryPLC.System.BMSAB/SOCRecTimRst,ValRefBool,Machine,0,,,,,,,,,,
PrimaryPLC.System.BMSAB/SOCWarnLow,Alarm,Machine,,1,warning,,0,,,,0,state,
PrimaryPLC.System.BMSAB/TMSMismatch,EscAlarm,Machine,,0,critical,,0,,,,0,state,
PrimaryPLC.System.BMSAB/Voltage,ValRefReal,Machine,1.0,,,,,,,,,,
PrimaryPLC.System.BMSAB/VoltageMismatch,ValRefPersReal,Machine,0.5,,,,,,,,,,
PrimaryPLC.System.CANBusSystem/cBMSA/Current,ValObjReal,Machine,0.799988,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSA/SOC,ValObjPercentage,Machine,0.844,,,,,0,,0.0,,,
